,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
3299,3,Baner,1300,15000,3.0,195.0,2014.0,-7.0
3302,3,Baner,1750,12000,3.0,210.0,2017.0,-4.0
3303,3,Balewadi,1800,14444,3.0,260.0,2015.0,-6.0
3304,2,Balewadi,1400,10714,2.0,150.0,2015.0,-6.0
3305,3,Baner,2100,16666,3.0,350.0,2020.0,-1.0
3306,2,Baner,1000,9000,2.0,90.0,2002.0,-19.0
3311,2,Talegaon Dabhade,1139,7309,2.0,83.26,2021.0,0.0
3312,2,Talegaon Dabhade,793,7363,2.0,58.39,2021.0,0.0
3313,1,Talegaon Dabhade,722,7254,1.0,52.38,2021.0,0.0
3317,2,Baner,1050,8571,2.0,90.0,2015.0,-6.0
3320,2,Katraj,707,6731,2.0,47.59,2020.0,-1.0
3321,1,Katraj,644,6909,1.0,44.5,2020.0,-1.0
3322,2,Katraj,808,6806,2.0,55.0,2020.0,-1.0
3323,2,Katraj,808,7112,2.0,57.47,2020.0,-1.0
3324,2,Katraj,954,6998,2.0,66.77,2020.0,-1.0
3325,2,Katraj,869,7176,2.0,62.36,2020.0,-1.0
3326,2,Katraj,869,7019,2.0,61.0,2020.0,-1.0
3327,1,Katraj,644,6366,1.0,41.0,2020.0,-1.0
3328,1,Katraj,644,6521,1.0,42.0,2020.0,-1.0
3329,2,Katraj,869,7077,2.0,61.5,2020.0,-1.0
3330,2,Katraj,869,6962,2.0,60.5,2020.0,-1.0
3331,2,Katraj,808,6745,2.0,54.5,2020.0,-1.0
3332,2,Katraj,954,6761,2.0,64.5,2020.0,-1.0
3333,1,Katraj,644,6599,1.0,42.5,2020.0,-1.0
3334,1,Katraj,644,6444,1.0,41.5,2020.0,-1.0
3335,1,Katraj,681,6534,1.0,44.5,2020.0,-1.0
3336,2,Katraj,954,6918,2.0,66.0,2020.0,-1.0
3337,1,Katraj,681,6828,1.0,46.5,2020.0,-1.0
3338,2,Katraj,808,6930,2.0,56.0,2020.0,-1.0
3339,1,Katraj,644,6987,1.0,45.0,2020.0,-1.0
3340,3,Dattavadi,1537,7156,3.0,110.00000000000001,2016.0,-5.0
3341,2,Ambegaon Budruk,1040,6057,2.0,63.0,2018.0,-3.0
3342,2,Mundhwa,1411,12048,2.0,170.0,2024.0,3.0
3343,3,Vadgaon Budruk,1216,13569,3.0,165.0,2022.0,1.0
3344,3,Vadgaon Budruk,1216,13157,3.0,160.0,2022.0,1.0
3345,1,Vadgaon Budruk,650,6000,1.0,39.0,2013.0,-8.0
3346,3,Ambegaon Budruk,1700,5588,3.0,95.0,2010.0,-11.0
3347,3,Dhayari,1400,8214,3.0,114.99999999999999,2013.0,-8.0
3348,2,Vadgaon Budruk,917,7088,2.0,65.0,2017.0,-4.0
3349,2,Ambegaon Budruk,1052,5988,2.0,63.0,2013.0,-8.0
3350,3,Mahalunge,1134,8377,3.0,95.0,2020.0,-1.0
3352,2,Thergaon,949,6849,2.0,65.0,2008.0,-13.0
3353,2,Talegaon Dabhade,918,4357,2.0,40.0,2015.0,-6.0
